('http://www.songlyrics.com/leona-lewis/better-in-time-lyrics/', '2008')
('http://www.songlyrics.com/colby-o-donis/what-you-got-lyrics/', '2008')
('http://www.songlyrics.com/flo-rida/in-the-ayer-lyrics/', '2008')
('http://www.songlyrics.com/john-mayer/say-lyrics/', '2008')
('http://www.songlyrics.com/wyclef-jean-feat-akon-lil-wayne-niia/sweetest-girl-dollar-bill-lyrics/', '2008')
('http://www.songlyrics.com/jordin-sparks/one-step-at-a-time-lyrics/', '2008')
('http://www.songlyrics.com/rihanna/hate-that-i-love-you-lyrics/', '2008')
('http://www.songlyrics.com/j-holiday/suffocate-lyrics/', '2008')
('http://www.songlyrics.com/young-jeezy/put-on-lyrics/', '2008')
('http://www.songlyrics.com/three-6-mafia-feat-project-pat-young-d-superpower/lolli-lolli-pop-that-body-lyrics/', '2008')
('http://www.songlyrics.com/kevin-rudolf-feat-lil-wayne/let-it-rock-lyrics/', '2008')
('http://www.songlyrics.com/lupe-fiasco-feat-matthew-santos/superstar-lyrics/', '2008')
('http://www.songlyrics.com/colbie-caillat/realize-lyrics/', '2008')
('http://www.songlyrics.com/david-banner-feat-chris-brown/get-like-me-lyrics/', '2008')
